                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6594,                 3.5821,                  1.792,                0.96169,                0.17973,                0.70564,                0.38136,                 1.3859,                 2.6131,                 1.5156,              0.0002522,              0.0002522,              0.0002522
                      2,                 1.4455,                 2.0313,                 1.5485,                0.68501,                0.71594,                0.80132,                0.44668,                  1.434,                 1.5417,                 1.5553,             0.00045819,             0.00045819,             0.00045819
                      3,                  1.377,                 1.7042,                 1.4898,                0.82468,                0.89134,                0.95675,                0.56155,                 1.3956,                 1.0694,                 1.5158,             0.00061342,             0.00061342,             0.00061342
                      4,                 1.3576,                 1.4752,                 1.4618,                0.89735,                0.88486,                0.94573,                0.57668,                 1.3051,                 1.0265,                 1.4632,             0.00054061,             0.00054061,             0.00054061
                      5,                 1.2799,                 1.3206,                 1.4017,                 0.9516,                0.95152,                 0.9802,                 0.6231,                 1.2513,                0.79335,                 1.3947,             0.00046448,             0.00046448,             0.00046448
                      6,                 1.2606,                 1.2064,                 1.3874,                0.97731,                0.97586,                0.98471,                0.62788,                 1.2481,                0.72211,                 1.3815,             0.00038835,             0.00038835,             0.00038835
                      7,                 1.2452,                 1.0954,                 1.3659,                0.97449,                0.98271,                0.98786,                0.63703,                 1.2094,                0.68052,                 1.3499,             0.00031221,             0.00031221,             0.00031221
                      8,                 1.2053,                 1.0174,                 1.3517,                0.97819,                0.98589,                0.98586,                0.64428,                 1.1899,                 0.6524,                  1.328,             0.00023608,             0.00023608,             0.00023608
                      9,                 1.1719,                0.95644,                 1.3243,                0.97832,                0.98554,                0.98854,                0.65687,                 1.1672,                0.62286,                 1.3094,             0.00015995,             0.00015995,             0.00015995
                     10,                 1.1586,                0.91196,                 1.2927,                0.97888,                0.99017,                0.98945,                 0.6815,                 1.1298,                0.58883,                 1.2806,             8.3821e-05,             8.3821e-05,             8.3821e-05
